firstname,lastname,race,age,personality,build,detail,stats
Nonus,Wringer,,,Impatient – Unable to wait patiently or tolerate delay; restless. Unable to endure irritation or opposition; intolerant.,,viciously parted and combed hair,1067106-crazy-person
Marta,Oddsprocket,,,Impious – Lacking piety and reverence for a god/gods and their followers.,,very fine long hair,1701167-dancer
Bertha,Pancks,,,Impish – Naughtily or annoyingly playful.,,exceedingly be-wigged,2083233-doctor
Akadia,Hooper,,,"Incompetent – Unable to execute tasks, no matter how the size or difficulty.",,"oddly effeminate, or masculine",1531137-farmer
Cyrine,Potts,,,"Indecisive – Characterized by lack of decision and firmness, especially under pressure.",,haggard and haunted,407503-foot-soldier
Ephrael,Kenwigs,,,"Indifferent – The trait of lacking enthusiasm for or interest in things generally, remaining calm and seeming not to care; a casual lack of concern. Having or showing little or no interest in anything; languid; spiritless.",,half-asleep,875952-guild-artisan
Galatia,Nupkins,,,"Infamy – Having an extremely bad reputation, public reproach, or strong condemnation as the result of a shameful, criminal, or outrageous act that affects how others view them.",,unusually large nose,2131814-logger
Hazel,Omer,,,Intolerant – Unwilling to tolerate difference of opinion and narrow-minded about cherished opinions.,,furtive eyes,1677443-lumberjack
Lyra,Dwimmerlight,,,"Judgemental – Inclined to make and form judgements, especially moral or personal ones, based on one’s own opinions or impressions towards others/practices/groups/religions based on appearance, reputation, occupation, etc.",,"long, skeletal fingers",664416-maid
Ophilia,Smidgely,,,Klutz – Clumsy. Blunderer.,,"hooked, dribbling nose",2250359-medic
Atella,Turveydrop,,,Lazy – Resistant to work or exertion; disposed to idleness.,,slab-faced,516411-mentor
Odessa,Watts,,,"Lewd – Inclined to, characterized by, or inciting to lust or lechery; lascivious. Obscene or indecent, as language or songs; salacious.",,"fashionable, but decrepit",1006563-merchant
Megehra,Ortell,,,Liar – Compulsively and purposefully tells false truths more often than not. A person who has lied or who lies repeatedly.,,faint smell,322654-merchant
Ada,Doyce,,,Lustful – Driven by lust; preoccupied with or exhibiting lustful desires.,,"large, vein-coated ears",1701184-musician
Fan,Sweedlepipe,,,"Masochist – The deriving of sexual gratification, or the tendency to derive sexual gratification, from being physically or emotionally abused. A willingness or tendency to subject oneself to unpleasant or trying experiences.",,"darting, narrow tongue",280659-monster-hunter-apprentice-john
Nixia,Rouncewell,,,"Meddlesome – Intrusive in a meddling or offensive manner, given to meddling; interfering.",,"arched, thin eyebrows",2561992-outlaw
Estella,Traddles,,,Meek – Evidencing little spirit or courage; overly submissive or compliant; humble in spirit or manner; suggesting retiring mildness or even cowed submissiveness.,,bloated stomach,2540750-peasant-rebel
Sarah,Flintwinch,,,"Megalomaniac – A psycho pathological condition characterized by delusional fantasies of wealth, power, or omnipotence.",,rictus grin,2579202-pickpocket
Helena,Voles,,,"Naïve – Lacking worldly experience and understanding, simple and guileless; showing or characterized by a lack of sophistication and critical judgement.",,"protruding, uneven teeth",500094-ruffian
Charity,Tulkinghorn,,,Nervous – Easily agitated or distressed; high-strung or jumpy.,,"smoothed, as if made of clay",243991-sailor-basic-crew
Mercy,Blurt,,,Non-violent – Abstaining from the use of violence.,,mismatched eye colours,1413777-seductress
Chastity,Hawk,,,Nosey – Given to prying into the affairs of others; snoopy. Offensively curious or inquisitive.,,swollen goiter,370134-servant-human
Harriet,Mordans,,,Obsessive – An unhealthy and compulsive preoccupation with something or someone.,,great shock of white hair,1382102-shepherd-boy
Lucretia,Littimer,,,"Oppressor – A person of authority who subjects others to undue pressures, to keep down by severe and unjust use of force or authority.",,cracked and yellowed skin,160151-shopkeeper
Bountiful,Elphenstone,,,Overambitious – Having a strong excessive desire for success or achievement.,,extraordinarily wrinked,2851570-smart-person
Salome,Westlock,,,Overconfident – Excessively confident; presumptuous.,,rheumatic or gout-plagued joints,1679106-squire
Carlotta,Crummles,,,"Overemotional – Excessively or abnormally emotional. Sensitive about themselves and others, more so than the average person.",,"thin, pale lips",1114172-wandering-trader
Eugina,Barnaparnassus,,,Overprotective – To protect too much; coddle.,,"perfect, smooth teeth",1172019-wandering-trader
Kara,Pelever,,,Overzealous – Marked by excessive enthusiasm for and intense devotion to a cause or idea.,,blotched complexion,2444644-actor
Devotional,Langdale,,,Pacifist – Opposition to war or violence as a means of resolving disputes. (Can double as a merit in certain cases),,"hissing, raspy voice",2115236-bandit-archer
Superlative,Trundle,,,Paranoid – Exhibiting or characterized by extreme and irrational fear or distrust of others.,,crippled limb,1167350-bank-guard
Prudence,Lorry,,,"Peevish – Expressing fretfulness and discontent, or unjustifiable dissatisfaction. Cantankerous, cross, ill-tempered, testy, captious, discontented, crotchety, cranky, ornery.",,crossed eyes,1918602-bard-cultist
Francheska,Wackford,,,Perfectionist – A propensity for being displeased with anything that is not perfect or does not meet extremely high standards.,,long-necked,2619989-bartender
Sophia,Bombard,,,Pessimist – A tendency to stress the negative or unfavourable or to take the gloomiest possible view.,,extraordinary compressed,40763-bartender
Severine,Staggers,,,"Pest – One that pesters or annoys, with or without realizing it. Nuisance. Annoying. Nag.",,dotted with warts,649903-beggar
Belinda,Skiderslew,,,"Phobic – They have a severe form of fear when it comes to this one thing. Examples: Dark, Spiders, Cats",,"youthful, but unsmiling face",3245461-bowman
Clara,Rugg,,,"Practical – Level-headed, efficient, and unspeculative. No-nonsense.",,aged and wrinkled,852461-citizen
Rose,Wormsby,,,"Predictable – Easily seen through and assessable, where almost anyone can predict reactions and actions of said person by having met or known them even for a short time.",,bedecked with jewelery,2484905-commoner-tough
Maggy,Vickston,,,Proud – Filled with or showing excessive self-esteem and will often shirk help from others for the sake of pride.,,bulbous nose,167734-conscript
Lynn,Durdles,,,"Rebellious – Defying or resisting some established authority, government, or tradition; insubordinate; inclined to rebel.",,"spindly, knob-jointed limbs",852461-citizen
Amy,Harmond,,,"Reckless – Heedless. Headstrong. Foolhardy. Unthinking boldness, wild carelessness and disregard for consequences.",,careworn features,2003194-curator
Prima,Swidger,,,Remorseless – Without remorse; merciless; pitiless; relentless.,,"tufted, cloud-like hair",2632938-cutpurse
Secunda,Litwickler,,,Rigorous – Rigidly accurate; allowing no deviation from a standard; demanding strict attention to rules and procedures.,,bespectacled and blinking,840514-deckhand
Tertia,Capula,,,"Sadist – The deriving of sexual gratification or the tendency to derive sexual gratification from inflicting pain or emotional abuse on others. Deriving of pleasure, or the tendency to derive pleasure, from cruelty.",,"cruel, cold features",311062-devoted
Quarta,Orlick,,,Sadomasochist – Both sadist and masochist combined.,,"placid, widely spaced features",1679137-disciple
Quinta,Slummley,,,Sarcastic – A subtle form of mockery in which an intended meaning is conveyed obliquely.,,speckled with sores,1844465-dock-worker
Sexta,Wickfield,,,"Sceptic – One who instinctively or habitually doubts, questions, or disagrees with assertions or generally accepted conclusions.",,"dandyish, thick makeup",3039911-dockyard-thug
Septima,Shrewcatcher,,,"Seducer – To lead others astray, as from duty, rectitude, or the like; corrupt. To attempt to lead or draw someone away, as from principles, faith, or allegiance.",,"cold, dead skin",2536573-dohwar-merchant
Octavia,Gramsby,,,Selfish – Concerned chiefly or only with oneself.,,"uneven, half-collapsed face",2983534-drunkard
Nona,Didcot,,,"Self-Martyr – One who purposely makes a great show of suffering in order to arouse sympathy from others, as a form of manipulation, and always for a selfish cause or reason.",,wiry-haired,588976-dwarf-miner
Cedrick,Selmy,,,"Self-righteous – Piously sure of one’s own righteousness; moralistic. Exhibiting pious self-assurance. Holier-than-thou, sanctimonious.",,bucolic and wholesome,632132-dwarven-bard
Camern,Mormont,,,"Senile – Showing a decline or deterioration of physical strength or mental functioning, esp. short-term memory and alertness, as a result of old age or disease.",,,1619615-dwarven-blacksmith
Brack,Caron,,,Shallow – Lacking depth of intellect or knowledge; concerned only with what is obvious.,,,3124085-dwarven-prospector
Karne,Ruthermont,,,"Smart Ass – Thinks they know it all, and in some ways they may, but they can be greatly annoying and difficult to deal with at times, especially in arguments.",,,2003482-farmer
Decran,Umber,,,"Soft-hearted – Having softness or tenderness of heart that can lead them into trouble; susceptible of pity or other kindly affection. They cannot resist helping someone they see in trouble, suffering or in need, and often don’t think of the repercussions or situation before doing so.",,,2305805-farmer
Cedrick,Woodgard,,,"Solemn – Deeply earnest, serious, and sober.",,,1765515-fisherman
Aldo,Chaffton,,,"Spineless – Lacking courage. Cowardly, wimp, lily-livered, gutless.",,,419130-goblin-gatherer
Dercin,Challinder,,,Spiteful – Showing malicious ill will and a desire to hurt; motivated by spite; vindictive person who will look for occasions for resentment. Vengeful.,,,378653-human-huntsman
Bracks,Foral,,,"Spoiled – Treated with excessive indulgence and pampering from earliest childhood, and has no notion of hard work, self-care or money management; coddled, pampered. Having the character or disposition harmed by pampering or over-solicitous attention.",,,3198613-hunter-apprentice
Garvy,Haerd,,,Squeamish – Excessively fastidious and easily disgusted.,,,1560747-hunter
Gordar,Piper,,,"Stubborn – Unreasonably, often perversely unyielding; bull-headed. Firmly resolved or determined; resolute.",,,752342-innkeeper
Weslar,Yew,,,"Superstitious – An irrational belief arising from ignorance or fear from an irrational belief that an object, action, or circumstance not logically related to a course of events influences its outcome.",,,3002184-lesser-noble
Dallin,Wendwater,,,Tactless – Lacking or showing a lack of what is fitting and considerate in dealing with others.,,,1792192-local-militia
Ascar,Errol,,,"Temperamental – Moody, irritable, or sensitive. Excitable, volatile, emotional.",,,1969085-local-racists
Zandren,Lefford,,,"Theatrical – Having a flair for over dramatizing situations, doing things in a ‘big way’ and love to be ‘centre stage’.",,,141899-lone-wanderer
Trevas,Keller,,,"Timid -Tends to be shy and/or quiet, shrinking away from offering opinions or from strangers and newcomers, fearing confrontations and violence.",,,1691041-lumberjack
Kennat,Kneight,,,"Tongue-tied – Speechless or confused in expression, as from shyness, embarrassment, or astonishment.",,,1678548-magician
Jacke,Staelle,,,"Troublemaker – Someone who deliberately stirs up trouble, intentionally or unintentionally.",,,1306249-messenger
Tyral,Perle,,,Unlucky – Marked by or causing misfortune; ill-fated. Destined for misfortune; doomed.,,,2109034-milk-man
Corlin,Waller,,,"Unpredictable – Difficult to foretell or foresee, their actions are so chaotic it’s impossible to know what they are going to do next.",,,1214750-miner
Marya,Haigh,,,Untrustworthy – Not worthy of trust or belief. Backstabber.,,,1925675-noble-sidekick
Kiara,Drumm,,,"Vain – Holding or characterized by an unduly high opinion of their physical appearance. Lovers of themselves. Conceited, egotistic, narcissistic.",,,506954-noble-youth
Meya,Yelshire,,,"Weak-willed – Lacking willpower, strength of will to carry out one’s decisions, wishes, or plans. Easily swayed.",,,1180415-outlaw
Valeris,Mullendore,,,Withdrawn – Not friendly or Sociable. Aloof.,,,216381-outrider
Kaina,Rowan,,,Zealous – A fanatic.,,,3028853-private-security
Kaina,Hayard,,,Pious,,,198842-shepherd
Vanesha,Hutter,,,Proud,,,861399-street-urchin
Breniell,Glovelyn,,,Reserved,,,1374696-tower-guard
Maliya,Maeson,,,Suspicious,,,2134123-tracker
Jaena,Cherrane,,,Prying,,,2123183-wealthy-commoner
Jares,Bulwer,,,Vicious,,,3123207-worker
Andren,Greyiron,,,Vindictive,,,2121964-artisan
Emersen,Waterman,,,Casually rude,,,2779556-barkeep
Riler,Costayne,,,Rebellious,,,927575-bounty-hunter
Jasim,Humble,,,Polite,,,2726440-brawler
Dran,Vaele,,,Obsessive,,,1072930-clergyman
Seban,Krey,,,Off-world affectations,,,506896-dark-maid
Gurner,Sadlyn,,,Simpering,,,322654-merchant
Russal,Tascer,,,Paternalistic,,,548135-master-merchant
Stanler,Farrest,,,Spouts half-blasphemies,,,548101-merchant
Lorenah,Boggs,,,Witty,,,2279760-farmer
Emilee,Brune,,,Kind,,,52969-goblin-servant
Charlyse,Dondarrion,,,Arrogant,,,1865547-indentured-servant
Monira,Foote,,,Pretensions above their station,,,2937013-servant
Lenda,Grafton,,,Obsequious,,,2093564-goblin-crafter
Arice,Worner,,,Nearly comatose,,,2121964-artisan
Raina,Smyte,,,Smug,,,
Laina,Maller,,,Pretends to be feeble,,,
Kathlyn,Chandyll,,,Meddling,,,
Lusia,Tiren,,,Over-familliar attitude,,,
Jarad,Staunton,,,Territorial,,,
Braddish,Goodbrother,,,Stern,,,
Hurdon,Condon,,,Permanent expression of disgust,,,
Mateo,Rambton,,,Habitual liar,,,
Grandon,Swyft,,,Sneering,,,
Lanner,Daxer,,,Prone to fainting at excitement,,,
Rylen,Vallie,,,Sarcastic,,,
Dennas,Woodgard,,,Brow-beaten by associates,,,
Lucan,Kannor,,,Wrapped in fast glories,,,
Dennas,Coldrin,,,Dashing and flashy,,,
,,,,Mutters curses or comments,,,
,,,,"Prattling, wheedling voice",,,
,,,,Gourmet,,,
,,,,Verbose,,,
,,,,Unfaithful,,,
,,,,Crafty,,,
,,,,Boisterous,,,
,,,,Thinks they are witty,,,
,,,,Cackling,,,
,,,,Of a famous line,,,
,,,,Paranoid,,,
,,,,Bombastic,,,
,,,,Superior,,,
,,,,Weary,,,
,,,,Slow-witted,,,
,,,,Deeply religous,,,
,,,,Excitable,,,
,,,,Indifferent,,,
,,,,Soft-spoken,,,
,,,,Scripture-quoting,,,
,,,,Addict,,,
,,,,Hums snatches of music,,,
,,,,Vain,,,
,,,,Bitter,,,
,,,,Menacing chuckle,,,
,,,,Apathetic,,,
,,,,Desperate,,,
,,,,Politically savvy,,,
,,,,Lover of conspiracies,,,
,,,,Pompous,,,
,,,,Holds irrational grudges,,,
,,,,Studious,,,
,,,,Surrounded by props,,,
,,,,Cautious,,,
,,,,Hesitant and stuttering,,,
,,,,Extraordinarily hypocritical,,,
,,,,Ambitious,,,
,,,,Fanatical,,,
,,,,Devoted to procedure and rule,,,
,,,,Wrathful,,,
,,,,Predatory,,,
,,,,Gambler,,,
,,,,Cantankerous,,,
,,,,Philosophic,,,
,,,,Swaggering and pompous,,,
,,,,Utterly senile,,,
,,,,Deviant tastes,,,
,,,,Reckless,,,
,,,,Incompetent,,,
,,,,Ruthless,,,
,,,,Braggart,,,
,,,,Morbid,,,
,,,,Contempt of lower orders,,,
,,,,Corrupt,,,
,,,,Romantic,,,
,,,,Faithless,,,
,,,,Melancholic,,,
,,,,Raving mad,,,
,,,,Quick-witted,,,
,,,,Indecisive,,,
,,,,"Benevolent, but manipulative",,,
,,,,Greedy,,,
,,,,Flirtatious,,,
,,,,Dispenses aphorisms,,,
,,,,Cowardly,,,
